,Title,Year,Source title,Abstract,Index Keywords,Cited by,Publisher,Language of Original Document,Document Type,countries,Funding Entities,Main Country,Period,Number of collaborators
99,Hemoglobinopathies: ocular manifestations in children and adolescents,2021,Therapeutic Advances in Ophthalmology,"Hemoglobinopathies are genetic disorders that lead to abnormal structure of the hemoglobin molecule. Sickle cell disease, the most common inherited blood disorder, is characterized by defective oxygen transport. Almost every part of the eye can be affected by sickle cell disease; however, proliferative sickle cell retinopathy is the primary cause of vision loss, either from vitreous hemorrhage or retinal detachment. Here we review the various manifestations of hemoglobinopathies on the eyes of children and adolescents, with a specific focus on sickle cell disease and its different phenotypes. Newer, more sensitive ophthalmological imaging modalities, including ultra-widefield fluorescein angiography, spectral-domain optical coherence tomography, and optical coherence tomography angiography, are available. These sensitive modalities allow for a more thorough examination of the retinal periphery where sickle cell retinopathy is often present. Utilization of such modalities will help with the early detection of the disease in children, which provide a better understanding of the pathogenesis of the disease and guide future screening and treatment regimens. © The Author(s), 2021.",,0.0,SAGE Publications Ltd,English,Review,['United States'],[],['United States'],2014 - 2023,1
100,Evaluation of retinal nerve fiber layer and choroidal thickness with spectral domain optical coherence tomography in children with sickle cell anemia,2021,Turkish Journal of Pediatrics,"Background. The aim of this study is to examine the thickness of choroidal, macular and peripapillary retinal nerve fiber layer by spectral-domain optical coherence tomography (SD-OCT) in pediatric patients with sickle cell anemia (SCA) without retinopathy. Methods. A total of 75 children (30 SCA patients (Group 1) and 45 healthy individuals (Group 2) were included in the study. Macular (central, superior, inferior, nasal, temporal), choroidal (subfoveal, at nasal distances from the central fovea of 1000 μm [N1], 2000 μm [N2], 3000 μm [N3], at temporal distances from the central fovea of 1000 μm [T1], 2000 μm [T2], 3000 μm [T3]) and RNFL (average, temporal, superotemporal, inferotemporal, nasal, inferonasal and superonasal) measurements were performed by SD-OCT. These parameters were compared with healthy children with similar demographic characteristics. Results. The mean age was 14.11±3.86 (11-18) in sickle cell anemia patients and 13.15± 2.69 (10-18) in the healthy control group. Of the patients, 56.6% (n=17) of Group 1 and 44.4% (n=20) of Group 2 were male. Choroidal measurements made in the subfoveal, N1, N2, N3, T1, T2 and T3 quadrants showed that the choroid was thinner in 6 quadrants in SCA patients compared to the healthy group (p = 0.003, p = 0.039, p = 0.035, p = 0.595, p = 0.006, p = 0.005, p = 0.047, respectively). In RNFL measurements, there was significant thinning in the temporal, inferotemporal, and nasal quadrants of SCA patients compared to the healthy group. Changes in other quadrants were not significant. Conclusions. SD-OCT is a useful imaging method in the diagnosis and screening in patients with SCA without retinopathy. Early diagnosis of retinopathy during subclinical disease will prevent visual loss in these patients. © 2021, Turkish National Pediatric Society. All rights reserved.","['ferritin', '  hemoglobin A1c', '  adolescent', '  adult', '  Article', '  best corrected visual acuity', '  blood transfusion', '  child', '  choroidal thickness', '  demography', '  electrophoresis', '  eye movement', '  female', '  human', '  human experiment', '  intraocular pressure', '  macular thickness', '  major clinical study', '  male', '  normal human', '  observational study', '  ophthalmology', '  optic disk', '  pediatric patient', '  perimetry', '  red blood cell distribution width', '  retina fovea', '  retinal nerve fiber layer', '  retinopathy', '  school child', '  sickle cell anemia', '  spectral domain optical coherence tomography', '  visual acuity', '  young adult', '  choroid', '  complication', '  diagnostic imaging', '  nerve fiber', '  optical coherence tomography', '  retina disease', '  sickle cell anemia', '  Adolescent', '  Anemia', ' Sickle Cell', '  Child', '  Choroid', '  Humans', '  Male', '  Nerve Fibers', '  Retinal Diseases', '  Tomography', ' Optical Coherence']",0.0,Turkish National Pediatric Society,English,Article,['Turkey'],[],['Turkey'],2014 - 2023,1
101,"High Systolic Blood Pressure, Anterior Segment Changes and Visual Impairment Independently Predict Sickle Cell Retinopathy",2021,Hemoglobin,"Sickle cell disease is often complicated by retinopathy, which can be proliferative or non proliferative. Proliferative sickle cell retinopathy potentially leads to blindness. There is a paucity of data on sickle cell disease-related retinopathy from Africa, where the disease is most prevalent. We aimed to determine the clinical, ophthalmic, and laboratory predictors of sickle cell retinopathy in an African population. We conducted a cross-sectional study of 262 participants, aged 13 years and above, with sickle cell disease. Demographic and clinical data were collected using a structured questionnaire and standard physical examinations. Vitreo-retinal specialists performed eye examinations on all the participants. Hematological and biochemical assessments were conducted using standard methods. A multivariate stepwise forward logistic regression was performed to determine the predictors of retinopathy. The median age of the participants was 20 years (interquartile range: 17–25 years). Most of the participants had a homozygous Hb S (HBB: c.20A>T) genotype (96.9%), with 3.1% who carried a Hb S/Hb C (HBB: c.19G>A) genotype. The prevalence of non proliferative sickle cell retinopathy was 24.4%. Only 1.9% had proliferative sickle cell retinopathy (PSCR). Elevated systolic blood pressure (BP) [odds ratio (OR): 6.85, 95% confidence interval (95% CI): 1.05–44.45, p = 0.059], moderate visual impairment (OR: 5.2, 95% CI: 1.39–19.63, p = 0.015), and anterior segment changes (OR: 2.21, 95% CI: 1.19–4.13, p = 0.012) were independently predictive of retinopathy. This study provides new insight into predictors of retinopathy in sickle cell disease, with implications on early screening and prevention. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","['hemoglobin C', '  hemoglobin S', '  adolescent', '  adult', '  African', '  anterior eye segment', '  Article', '  controlled study', '  cross-sectional study', '  eye examination', '  female', '  genotype', '  human', '  major clinical study', '  male', '  physical examination', '  retinopathy', '  sickle cell anemia', '  structured questionnaire', '  systolic blood pressure', '  visual impairment', '  blood pressure', '  complication', '  genetics', '  retina disease', '  sickle cell anemia', '  visual disorder', '  young adult', '  Adolescent', '  Adult', '  Anemia', ' Sickle Cell', '  Blood Pressure', '  Cross-Sectional Studies', '  Humans', '  Retinal Diseases', '  Vision Disorders', '  Young Adult']",0.0,Taylor and Francis Ltd.,English,Article,"['Niger', ' Nigeria', ' United States']",[],"['Niger', 'Nigeria']",2014 - 2023,3
102,Chronic opioid use in patients with sickle cell disease,2021,Hematology (United Kingdom),[No abstract available],"['hydroxyurea', '  hypnotic agent', '  opiate', '  narcotic analgesic agent', '  adult', '  avascular necrosis', '  cerebrovascular accident', '  chronic arthritis', '  chronic kidney failure', '  chronic liver disease', '  chronic pain', '  Clostridioides difficile', '  drug dependence', '  female', '  hospitalization', '  human', '  inflammation', '  leg ulcer', '  Letter', '  leukocyte count', '  male', '  mental disease', '  mental health', '  microbial community', '  prevalence', '  pulmonary hypertension', '  retinopathy', '  sickle cell anemia', '  adolescent', '  aged', '  analgesia', '  child', '  complication', '  middle aged', '  pain', '  preschool child', '  sickle cell anemia', '  very elderly', '  young adult', '  Adolescent', '  Adult', '  Aged', '  Aged', ' 80 and over', '  Analgesics', ' Opioid', '  Anemia', ' Sickle Cell', '  Child', '  Child', ' Preschool', '  Female', '  Humans', '  Male', '  Middle Aged', '  Pain', '  Pain Management', '  Young Adult']",1.0,Taylor and Francis Ltd.,English,Letter,['United States'],[],['United States'],2014 - 2023,1
103,Nailfold capillaroscopy: A comprehensive review on common findings and clinical usefulness in non-rheumatic disease,2021,Journal of Medical Investigation,"Nailfold video-capillaroscopy (NVC) is a useful diagnostic tool, used to early detect abnormalities in micro-circulation, providing a qualitative description of microvascular anomalies in Raynaud’s phenomenon. NVC role in the diagnosis of Systemic Sclerosis is well known. In other rheumatic conditions such as connective tissue diseases, vasculitis, and arthritis, the NVC anomalies are often included in a scleroderma like pattern. The use of NVC in non-rheumatic diseases (NRD), with remarkable microvascular damage, as diabetes, is not standardized yet, although several research studies are carrying on. The aim of this article is to provide a resume of published results in order to lay the groundwork for the employment of NVC both in the diagnosis and follow up of microvascular complication in NRD. Furthermore, we mention NVC findings in pathologies without well recognize microvascular damages in their pathogenesis: micro-vessels abnormalities may suggest a different point of view. © 2021, University of Tokushima. All rights reserved.","['alopecia areata', '  Alzheimer disease', '  capillaroscopy', '  cerebrovascular disease', '  diabetic nephropathy', '  diabetic neuropathy', '  diabetic retinopathy', '  disease association', '  glaucoma', '  high tension glaucoma', '  human', '  insulin dependent diabetes mellitus', '  interstitial lung disease', '  leprosy', '  low tension glaucoma', '  microangiopathy', '  nailfold capillaroscopy', '  non insulin dependent diabetes mellitus', '  open angle glaucoma', '  ophthalmoscopy', '  poikiloderma', '  pulmonary hypertension', '  Raynaud phenomenon', '  Rendu Osler Weber disease', '  Review', '  rosacea', '  scleroderma', '  sickle cell anemia', '  systematic review', '  angioscopy', '  diagnostic imaging', '  nail', '  rheumatic disease', '  systemic sclerosis', '  Humans', '  Microscopic Angioscopy', '  Nails', '  Raynaud Disease', '  Rheumatic Diseases', '  Scleroderma', ' Systemic']",6.0,University of Tokushima,English,Review,['Italy'],[],['Italy'],2014 - 2023,1
104,Vitrectomy due to vitreous hemorrhage and tractional retinal detachment secondary to eales’ disease,2021,Turkish Journal of Ophthalmology,"Objectives: To investigate visual and anatomical outcomes of vitreoretinal surgeries in patients with Eales’ disease. Materials and Methods: In this retrospective study, 22 eyes of 21 patients with vitreous hemorrhage (VH) or tractional retinal detachment (TRD) secondary to Eales’ disease who underwent vitreoretinal surgery between January 1997 and December 2015 and had at least 1 year of follow-up were included. Results: The mean best corrected visual acuity (BCVA) was significantly higher at final visit (0.6±0.9 logMAR) than the preoperative values (1.8±1.1 logMAR) (p<0.001). After surgery, BCVA was stable in 4 eyes (18.2%), increased in 16 eyes (72.7%), and decreased in 2 eyes (9.1%). Although the mean BCVA was better in the VH group (0.3±0.34 logMAR) than the TRD group (0.9±1.1 logMAR), the difference was not statistically significant (p=0.1). Multivariable linear regression analyses revealed that final BCVA was negatively associated with preoperative or postoperative proliferative vitreoretinopathy grade C (PVR-C), preoperative retinal detachment involving the macula, postoperative neovascular glaucoma, and long preoperative duration of disease, and positively associated with preoperative BCVA. Final BCVA was not associated with preoperative retinal and disc neovascularization, rubeosis iridis, total posterior hyaloid detachment, preoperative retinal laser photocoagulation, indication of surgery, diameter of sclerotomy (20 or 23 gauge), preoperative lens status, preoperative or postoperative epimacular membrane, peroperative iatrogenic retinal breaks, postoperative hypotony, cystoid macular edema, and new or recurrent retinal detachment. The primary anatomic success rate was 81.8% and the final anatomic success rate was 90.9%.Conclusion: In Eales’ disease, good visual results can be obtained with vitreoretinal surgery if the detachment area does not involve the macula and PVR-C does not develop pre- or postoperatively. © 2021 by Turkish Ophthalmological Association Turkish Journal of Ophthalmology, published by Galenos Publishing House.","['antibiotic agent', '  bevacizumab', '  corticosteroid', '  perflutren', '  silicone oil', '  sulfur hexafluoride', '  triamcinolone', '  Article', '  Behcet disease', '  best corrected visual acuity', '  chemexfoliation', '  diabetic retinopathy', '  disease duration', '  disease severity', '  drug withdrawal', '  Eales disease', '  epiretinal membrane', '  eye surgery', '  follow up', '  hypertension retinopathy', '  inflammation', '  intraocular hypotension', '  intraocular pressure', '  laser coagulation', '  lens', '  lensectomy', '  medical history', '  neovascular glaucoma', '  operation duration', '  outcome assessment', '  phacoemulsification', '  postoperative care', '  postoperative complication', '  preoperative care', '  preoperative evaluation', '  preoperative period', '  recurrent disease', '  retina detachment', '  retina macula cystoid edema', '  retina vein occlusion', '  retinotomy', '  sarcoidosis', '  sclerotomy', '  sickle cell anemia', '  syphilis', '  vision test', '  visual acuity', '  vitrectomy', '  vitreoretinal surgery', '  vitreoretinopathy', '  vitreous hemorrhage', '  adult', '  aged', '  complication', '  female', '  human', '  male', '  middle aged', '  neovascularization (pathology)', '  procedures', '  retina detachment', '  retina vasculitis', '  retrospective study', '  time factor', '  treatment outcome', '  visual acuity', '  vitrectomy', '  vitreous hemorrhage', '  young adult', '  Adult', '  Aged', '  Female', '  Follow-Up Studies', '  Humans', '  Male', '  Middle Aged', '  Neovascularization', ' Pathologic', '  Retinal Detachment', '  Retinal Vasculitis', '  Retrospective Studies', '  Time Factors', '  Treatment Outcome', '  Visual Acuity', '  Vitrectomy', '  Vitreous Hemorrhage', '  Young Adult']",0.0,Turkish Ophthalmology Society,English,Article,['Turkey'],[],['Turkey'],2014 - 2023,1
105,Central macular thickness in patients with sickle cell disease and no signs of retinopathy: a cross-sectional study of Jordanian patients,2021,Journal of International Medical Research,"Objectives: To measure central macular thickness in Jordanian patients with sickle cell disease who did not have retinopathy and compare the findings with age- and sex-matched controls using spectral domain optical coherence tomography (SDOCT). Methods: In this cross-sectional study, participants underwent visual acuity testing, slit-lamp bio-microscopy, dilated ophthalmoscopy, and SDOCT imaging to measure central macular thickness. Macular quadrant measurements and thickness difference indexes (TDIs) were compared between groups. Results: Twenty eyes with sickle cell disease and 20 control eyes were enrolled. The median visual acuity in both groups was 20/20. The mean macular thickness was significantly lower in eyes with sickle cell disease than in matched controls (mean difference, 22.15 ± 6.44 µm). Peripheral quadrants were all significantly thinner in eyes with sickle cell disease, especially in superior and temporal quadrants. TDIs were lower in eyes with sickle cell disease than in control eyes. Conclusions: Eyes with sickle cell disease that had no clinical evidence of retinopathy exhibited significantly lower central macular thickness in all quadrants, compared with eyes in age- and sex-matched controls. SDOCT is a non-invasive imaging modality that can detect preclinical changes in eyes with sickle cell disease and can be used to screen and monitor the disease process. © The Author(s) 2021.","['adult', '  age related macular degeneration', '  Article', '  central macular thickness', '  clinical article', '  clinical feature', '  controlled study', '  cross-sectional study', '  dilated ophthalmoscopy', '  female', '  human', '  Jordan', '  male', '  ophthalmoscopy', '  patient', '  retinopathy', '  sickle cell anemia', '  slit lamp microscopy', '  spectral domain optical coherence tomography', '  visual acuity', '  diagnostic imaging', '  optical coherence tomography', '  prospective study', '  retina disease', '  Anemia', ' Sickle Cell', '  Cross-Sectional Studies', '  Humans', '  Prospective Studies', '  Retinal Diseases', '  Tomography', ' Optical Coherence']",1.0,SAGE Publications Ltd,English,Article,['Jordan'],[],['Jordan'],2014 - 2023,1
106,Optical coherence tomography-angiography in pediatric ophthalmological practice (review),2021,Oftalmologiya,"Data from sources of domestic and foreign literature for 2016-2019 is presented in the review of literature. This data concerned of applying the method of optical coherent tomography-angiography in pediatric ophthalmic practice. OCT-A is a non-invasive research method, without the use of fluorescent dyes. The procedure is performed relatively quickly, with the possibility of additional repetition. The method allows to conduct visualization of the vascular network of the retina layer-by-layer, perform its quantitative analysis: To evaluate the density of the microvascular bed and measure the area of non-perfusion zones. Having appeared as a result of a qualitative modernization of OCT, a new method of visualization of vessels OCT-A is actively used in the diagnosis of pathologies such as glaucoma, diabetic retinopathy, post-thrombotic retinopathy, age-related macular degeneration, central serous chorioretinopathy, etc. In present time OCT-A being performed in adult medicine, it is actively used in various areas of pediatric ophthalmology. Presently, pediatric patients with diabetes mellitus, sickle cell anemia, amblyopia, retinal artery occlusion, and coats disease have been performed with OCT-A studies. Retinopathy of prematurity (ROP) is required a special attention among children's eye diseases. However, mentioning about OCT angiographic studies in patients with ROP are quite rare in the literature. Nevertheless, the available data indicate the enormous diagnostic potential of OCT-A in this severe vasoproliferative disease. The method give possibility for fully control the pathological process, to evaluate the effectiveness of the treatment and timely prevent the development of severe stages of ROP. Due to the information and diagnostic potential, it is necessary to continue research on the possibilities of the OCT-A method in the diagnosis, analysis of treatment results and prediction of ROP. © 2021 Ophthalmology Publishing Group. All rights reserved.","['age related macular degeneration', '  amblyopia', '  central serous retinopathy', '  clinical effectiveness', '  diabetes mellitus', '  diabetic retinopathy', '  exudative retinitis', '  eye disease', '  glaucoma', '  human', '  optical coherence tomography angiography', '  pediatrics', '  postthrombosis syndrome', '  retina artery occlusion', '  retinopathy', '  retrolental fibroplasia', '  Review', '  sickle cell anemia']",0.0,Ophthalmology Publishing Group,Russian,Review,['Russian Federation'],[],['Russian Federation'],2014 - 2023,1
107,Sickle cell disease,2021,Annals of Internal Medicine,[No abstract available],"['analgesic agent', '  antihistaminic agent', '  hemoglobin S', '  hydromorphone', '  hydroxyurea', '  morphine', '  nonsteroid antiinflammatory agent', '  opiate', '  pethidine', '  DNA', '  hemoglobin S', '  acute chest syndrome', '  Article', '  blood transfusion', '  clinical feature', '  comorbidity', '  contraception', '  digestive system disease', '  disorders of higher cerebral function', '  gene editing', '  gene mutation', '  gene therapy', '  hematopoietic stem cell transplantation', '  hemoglobinopathy', '  hemolytic anemia', '  high income country', '  human', '  infection', '  kidney disease', '  laboratory test', '  leg ulcer', '  lung function', '  medical specialist', '  pain', '  pathophysiology', '  patient education', '  physical examination', '  point mutation', '  pregnancy', '  prenatal diagnosis', '  priapism', '  pulmonary vascular disease', '  retinopathy', '  screening test', '  sickle cell anemia', '  sickle cell trait', '  treatment duration', '  treatment planning', '  venous thromboembolism', '  blood', '  dna mutational analysis', '  genetic screening', '  genetics', '  metabolism', '  mutation', '  procedures', '  sickle cell anemia', '  Anemia', ' Sickle Cell', '  DNA', '  DNA Mutational Analysis', '  Genetic Testing', '  Hemoglobin', ' Sickle', '  Humans', '  Mutation']",27.0,American College of Physicians,English,Article,['United States'],[],[],2014 - 2023,1
108,Visual cortex changes in children with sickle cell disease and normal visual acuity: a multimodal magnetic resonance imaging study,2021,British Journal of Haematology,"The visual system is primarily affected in sickle cell disease (SCD), and eye examination is recommended starting in late childhood. So far, to our knowledge, all studies have focused on the retina, neglecting the changes that might be present in the cortical portion of the visual system. We performed a multimodal magnetic resonance imaging (MRI) evaluation of the visual cortex in 25 children with SCD (mean age: 12·3 ± 1·9 years) and 31 controls (mean age: 12·7 ± 1·6 years). At ophthalmologic examination, 3/25 SCD children had mild visual acuity deficits and 2/25 had mild tortuosity of the retinal vessels. None showed optic pathway infarcts at MRI or Transcranial Doppler abnormal blood velocities, and 6/25 disclosed posterior cerebral artery stenosis (five mild and one severe) at MR-angiography. Compared to controls, SCD children had increased posterior pericalcarine cortical thickness, with a different trajectory of cortical maturation and decreased connectivity within medial and ventral visual neural networks. Our findings suggest that SCD affects the development and the tuning of the visual cortex, leading to anatomical and functional changes in childhood even in the absence of retinopathy, and set the basis for future studies to determine if these changes can represent useful predictors of visual impairment in adulthood, biomarkers of disease progression or treatment response. © 2020 British Society for Haematology and John Wiley & Sons Ltd","['adolescent', '  Article', '  cerebral artery disease', '  child', '  controlled study', '  cortical thickness (brain)', '  disease association', '  disease course', '  eye examination', '  female', '  human', '  magnetic resonance angiography', '  major clinical study', '  male', '  medial visual neural network', '  nerve cell network', '  nuclear magnetic resonance imaging', '  population research', '  posterior cerebral artery stenosis', '  posterior pericalcarine cortical thickness', '  priority journal', '  sickle cell anemia', '  transcranial Doppler ultrasonography', '  ventral visual neural network', '  visual acuity', '  visual cortex', '  brain', '  complication', '  diagnostic imaging', '  nuclear magnetic resonance imaging', '  pathology', '  sickle cell anemia', '  visual cortex', '  visual system', '  Adolescent', '  Anemia', ' Sickle Cell', '  Brain', '  Child', '  Female', '  Humans', '  Magnetic Resonance Imaging', '  Male', '  Nerve Net', '  Visual Cortex', '  Visual Pathways']",3.0,Blackwell Publishing Ltd,English,Article,['Italy'],[Fondazione Città],['Italy'],2014 - 2023,1
109,Ocular Manifestations of Sickle Cell Disease in Different Genotypes,2021,Ophthalmic Epidemiology,"Background: Sickle cell disease (SCD) is a multisystemic disorder with variable systemic involvement which varies according to genotype. In this study, our aim is to compare ocular complications between HbSS, HbSC, HbS/β+ thalassemia, HbS/β0 thalassemia, SS alpha thalassemia, and S/β0 + alpha thalassemia genotypes. Methods: Data of patients included in this study was recruited from the Cooperative Study of Sickle Cell Disease (CSSCD). Patients with major sickle cell hemoglobinopathies (SS, SC, Sβ- thalassemia, SS alpha thalassemia) were eligible for enrollment, after that, a detailed eye exam was performed. We categorized ocular complications into conjunctival sign, iris atrophy, and both proliferative and non-proliferative sickle cell retinopathy. Results: A total of 1867 patients were included in this study, with a mean age of 27.7 (± 11.7) years. They were 830 (44.5%) males and 1037 (55.5%) females. The most common genotype was SS with 971 (52%) patients, and the least common form was sickle cell with both alpha and beta thalassemia major with 42 (2.2%) patients. We found a significant difference in the frequency of proliferative sickle cell retinopathy, where SC genotype had the highest frequency and S B0 thalassemia genotype had the lowest frequency. We also found a significant difference in the frequency of conjunctival sign, where SS genotype had the highest frequency and the S B+ thalassemia has the lowest frequency. Conclusion: We identified ocular complications for major sickle cell hemoglobinopathies, where we confirmed previous small study’s findings and identified ocular complications of less common hemoglobinopathies. © 2020 Taylor & Francis Group, LLC.","['hemoglobin', '  hemoglobin S', '  hemoglobin S', '  adult', '  alpha thalassemia', '  Article', '  best corrected visual acuity', '  conjunctiva disease', '  controlled study', '  eye disease', '  female', '  follow up', '  genotype', '  hemoglobin analysis', '  hemoglobin SC disease', '  human', '  human tissue', '  iris atrophy', '  major clinical study', '  male', '  priority journal', '  proliferative retinopathy', '  retina detachment', '  retina hemorrhage', '  retina neovascularization', '  retinopathy', '  sickle cell anemia', '  sickle cell beta thalassemia', '  vitreous hemorrhage', '  adolescent', '  complication', '  conjunctiva', '  genetics', '  retina disease', '  sickle cell anemia', '  young adult', '  Adolescent', '  Adult', '  Anemia', ' Sickle Cell', '  Conjunctiva', '  Female', '  Genotype', '  Hemoglobin', ' Sickle', '  Humans', '  Male', '  Retinal Diseases', '  Young Adult']",2.0,Taylor and Francis Ltd.,English,Article,['Jordan'],[],['Jordan'],2014 - 2023,1
110,Post intravitreal bevacizumab recurrent Burkholderia cepacia endophthalmitis treated with clear lens extraction in an African,2020,American Journal of Ophthalmology Case Reports,"Purpose: To report the successful treatment of post intravitreal bevacizumab recurrent Burkholderia cepacia endophthalmitis managed with a clear lens extraction and posterior capsulectomy. Observation: A 34-year-old female African, known SC hemoglobinopathy patient, presented with bilateral blur in vision and floaters of a week duration; worse in her right eye. Her visual acuity was right eye 6/9 (20/30) and left eye 6/6 (20/20). Her anterior segment examination was normal in both eyes. On fundus examination, she had a right eye vitreous hemorrhage and bilateral active Sea-fan neovascular proliferation in the retina periphery. Following the administration of bilateral simultaneous intravitreal bevacizumab, she presented 4 days later with a right eye infective endophthalmitis. She suffered multiple recurrences despite adequate treatment, including a vitrectomy with silicone oil injection. Multiple microbiological assessment of intraocular extracts confirmed persistent Burkholderia cepacia infection. A wide ring-shaped opaque plaque was noticed on the posterior capsule of her clear lens. A decision was taken to perform a lensectomy and posterior capsulectomy. This resulted in immediate resolution of hypopyon and all intraocular inflammation. Vision improved from Hand Motion to 6/18 (20/60). Conclusion and importance: This report suggests than in some cases of recurrent, difficult to treat, Burkholderia cepacia endophthalmitis, since the organism may have colonized the posterior lens capsule, the eye and vision can be salvaged by timely removal of a clear lens and capsulectomy. Clear lens removal has not been previously reported for treating recurrent Burkholderia cepacia endophthalmitis. © 2020","['bevacizumab', '  ceftazidime', '  cotrimoxazole', '  dexamethasone', '  eye drops', '  fibrin', '  gatifloxacin', '  homatropine', '  moxifloxacin', '  prednisolone', '  prednisolone acetate', '  silicone oil', '  trimethoprim', '  vancomycin', '  adult', '  antibiotic sensitivity', '  antibiotic therapy', '  Article', '  B scan', '  blurred vision', '  Burkholderia cepacia infection', '  case report', '  clinical article', '  clinical assessment', '  cornea endothelium', '  drug dose reduction', '  endophthalmitis', '  eye examination', '  eye inflammation', '  eye pain', '  eye surgery', '  female', '  fluorescence angiography', '  follow up', '  hemoglobinopathy', '  human', '  hypopyon', '  intraocular pressure', '  laser coagulation', '  lensectomy', '  microbiological examination', '  optical coherence tomography angiography', '  posterior capsulectomy', '  postoperative period', '  proliferative sickle cell retinopathy', '  recurrent disease', '  retina detachment', '  retinopathy', '  steroid therapy', '  topical treatment', '  treatment duration', '  visual acuity', '  vitrectomy', '  vitreous body detachment', '  vitreous floaters', '  vitreous hemorrhage']",0.0,Elsevier Inc.,English,Article,"['Niger', ' Nigeria', ' Zimbabwe']",[],"['Niger', 'Nigeria']",2014 - 2023,3
111,Analysis of the foveal microvasculature in sickle cell disease using swept-source optical coherence tomography angiography,2020,Scientific Reports,"Ischemic microangiopathy was clearly identified in sickle cell disease (SCD) using fluorescein angiography. A prospective observational clinical study was conducted to assess the foveal avascular zone (FAZ) area and explore perifoveal microvasculature changes in the superficial (SCP) and deep (DCP) capillary plexus using optical coherence tomography angiography (OCTA) and compare two genotypes—HbS/HbS (HbSS) and HbS/HbC (HbSC)-to control. All consecutive patients with electrophoretic confirmation of SCD were included. Swept-source OCTA scans (Triton Plus, Topcon, Tokyo, Japan) with a 3 × 3-mm scanning area and ultra-wide field (UWF) retinography (California, Optos, Fife, Scotland) were recorded for all patients. For OCTA analysis, preset parameters were used to segment the SCP and DCP. The FAZ area was manually assessed. The number of vascular branching points was automatically assessed based on the vascular skeletonization using ImageJ software. Eyes were staged based on Goldberg’s classification of SCD retinopathy (SCDR) using UWF imaging. Forty-six eyes of 24 patients were included in the HbSS (n = 27) and HbSC (n = 19) groups and 16 eyes of 8 unaffected patients in a control group. In the DCP, the FAZ was significantly larger in the HbSC (p = 0.0001) and HbSS (p = 0.0004) groups compared to controls. The FAZ area in the SCP, CRT and number of superficial vascular branching points did not significantly differ between both genotypes. There were less branching points in the HbSC (p = 0.034) and HbSS (p = 0.0014) groups than in controls. The Goldberg stage was significantly higher in the HbSC group than in the HbSS group (2.21 vs. 1.22, p = 0.0062). OCTA provides useful information on macular microvasculature and structural alterations associated with SCDR. Ischemic abnormalities are more predominant in the DCP in case of SCDR and no difference was found between genotypes of patients visually asymptomatic. © 2020, The Author(s).","['adult', '  complication', '  diagnostic imaging', '  female', '  fluorescence angiography', '  human', '  male', '  microvasculature', '  middle aged', '  optical coherence tomography', '  pathology', '  procedures', '  retina disease', '  retina fovea', '  severity of illness index', '  sickle cell anemia', '  vascularization', '  young adult', '  Adult', '  Anemia', ' Sickle Cell', '  Female', '  Fluorescein Angiography', '  Fovea Centralis', '  Humans', '  Male', '  Microvessels', '  Middle Aged', '  Retinal Diseases', '  Severity of Illness Index', '  Tomography', ' Optical Coherence', '  Young Adult']",4.0,Nature Research,English,Article,['France'],[],['France'],2014 - 2023,1
112,Acute compartment syndrome in a patient with sickle cell disease,2020,Annals of the Royal College of Surgeons of England,"Haemoglobin SC (HbSC) disease accounts for 30% of cases of sickle cell disease in the United Kingdom and the United States. Unlike other sickle cell carriers, who are relatively asymptomatic, people with HbSC disease have a combination of genotypes with the potential to cause considerable morbidity due to intracellular water loss. Patients can present with acute pain, acute chest syndrome, proliferative retinopathy, splenic and renal complications, or stroke. We present a young man with HbSC disease who developed acute compartment syndrome. This is only the second report of this syndrome in a patient with HbSC disease. This is a very rare complication in HbSC disease, but it can have serious implications. © 2020 Royal College of Surgeons of England. All rights reserved.","['abdominal pain', '  acute disease', '  case report', '  complication', '  fatality', '  human', '  intraabdominal hypertension', '  male', '  pathology', '  sickle cell anemia', '  young adult', '  Abdominal Pain', '  Acute Disease', '  Anemia', ' Sickle Cell', '  Fatal Outcome', '  Humans', '  Intra-Abdominal Hypertension', '  Male', '  Young Adult']",0.0,Royal College of Surgeons of England,English,Article,['United Kingdom'],[],['United Kingdom'],2014 - 2023,1
113,Presumed sickle cell retinopathy in an elderlywoman,2020,JAMA Ophthalmology,[No abstract available],"['hemoglobin', '  case report', '  complication', '  diagnostic imaging', '  electrophoresis', '  female', '  human', '  metabolism', '  middle aged', '  procedures', '  retina', '  retina disease', '  sickle cell anemia', '  Anemia', ' Sickle Cell', '  Electrophoresis', '  Female', '  Hemoglobins', '  Humans', '  Middle Aged', '  Retina', '  Retinal Diseases']",1.0,American Medical Association,English,Note,['United States'],[],['United States'],2014 - 2023,1
